,Symbols,Description
0,_MXXD,Mexico SE Indice de Precios y Cotizaciones (IPC) (with GFD Extension)
1,IDAUSD,Australia Reserve Bank Overnight Cash Rate
2,IDBWAD,Botswana Central Bank Discount Rate
3,IDCAND,Bank of Canada Discount Rate
4,IDCHLD,Chile Central Bank Minimum Interest Rate
5,IDCOLD,Colombia Bank of the Republic Intervention Rate
6,IDDNKD,Denmark National Bank Discount Rate
7,IDHUND,Bank of Hungary Base Rate
8,IDINDD,India Reserve Bank Discount Rate
9,IDISRD,Bank of Israel Discount Rate
10,IDJPND,Bank of Japan Discount Rate
11,IDMYSD,Malaysia Bank Negara Discount Rate
12,IDNZLD,New Zealand Reserve Bank Official Cash Rate
13,IDPERD,Central Bank of Peru Discount Rate
14,IDPHLD,Philippines Central Bank Discount Rate
15,IDKORD,Bank of Korea Discount Rate
16,IDCHED,Switzerland National Bank Discount Rate
17,IDTURD,Türkiye Central Bank Discount Rate
18,IDGBRD,Bank of England Base Lending Rate
19,IDPOLD,Poland Central Bank Refinancing Rate
20,_BRVMCID,Cote d'Ivoire BRVM Stock Market Index
21,_GSPTSED,Canada S&P/TSX 300 Composite (with GFD extension)
22,_IBEXD,Madrid SE IBEX-35
23,_SSMID,Swiss Market Index
24,_SPXD,S&P 500 Composite Price Index (with GFD extension)
25,_HSID,Hong Kong Hang Seng Composite Index (with GFD Extension)
26,_FTSED,UK FTSE 100 Index (with GFD Extension)
27,_N225D,Nikkei 225 Stock Average (with GFD extension)
28,IGAUT10D,Austria 10-year Government Bond Yield (with GFD Extension)
29,IGDNK10D,Denmark 10-year Government Bond Yield (with GFD extension)
30,IGFRA10D,France 10-year Government Bond Yield (with GFD Extension)
31,IGIRL10D,Ireland 10-year Government Bond Yield (with GFD Extension)
32,IGITA10D,Italy 10-year Government Bond Yield (with GFD Extension)
33,IGNZL10D,New Zealand 10-year Government Bond Yield (with GFD Extension)
34,IGNOR10D,Norway 10-year Government Bond Yield (with GFD Extension)
35,IGKOR5D,South Korea 5-year Government Bond Yield
36,IGSWE10D,Sweden 10-year Government Bond Yield (with GFD Extension)
37,IGTHA10D,Thailand 10-year Government Bond Yield
38,IGGBR5D,United Kingdom 5-year Government Note Yield (with GFD Extension)
39,INZAFD,South Africa Eskom Corporate Bond Yield
40,ITAUS3D,Australia 3-month Treasury Bill Yield (with GFD Extension)
41,ITBEL3D,Belgium 3-month Treasury Bill Yield (with GFD Extension)
42,ITCAN3D,Canada 3-month Treasury Bill Yield (with GFD Extension)
43,ITFRA3D,France 3-month Treasury Bill Yield (with GFD Extension)
44,ITDEU3D,Germany 3-month Treasury Bill Yield (with GFD Extension)
45,ITGRC3D,Greece 3-month Treasury Bill Yield
46,ITHUN3D,Hungary 3-month Treasury Bill Yield
47,ITITA3D,Italy 3-month Treasury Bill Yield (with GFD Extension)
48,ITKEN3D,Kenya 3-month Treasury Bill Yield
49,ITMEX3D,Mexico 3-month Cetes Yield
50,ITNZL3D,New Zealand 3-month Treasury Bill Yield
51,ITPHL3D,Philippines 3-month Treasury Bill Yield
52,ITPOL3D,Poland 3-month Treasury Bill yield
53,ITPRT3D,Portugal 3-month Treasury Bill Yield
